Rank,TeamName,LP,Matches,Overall,TotalPoints,TotalKills,AvgPK,Placement,AvgKills,AvgPoints,FirstPlace,SecondPlace,ThirdPlace,Top5,Top10
1.0,XSET,307,32,237,102,135,43:57,9.03,4.22,7.41,2,1,3,9,21
2.0,NRG,293,32,283,124,159,44:56,8.53,4.97,8.84,3,3,2,12,20
3.0,TSM,271,32,268,114,154,43:57,8.84,4.81,8.38,2,4,1,12,17
4.0,LG,267,38,267,143,124,54:46,8.76,3.26,7.03,3,5,1,14,24
5.0,EXO,253,38,253,120,133,47:53,9.92,3.5,6.66,4,1,2,9,24
6.0,ACE,253,32,244,127,117,52:48,9.31,3.66,7.63,3,4,4,13,18
7.0,SSG,252,38,252,116,136,46:54,9.26,3.58,6.63,2,1,4,11,22
8.0,FNC,249,38,249,108,141,43:57,9.53,3.71,6.55,2,1,3,9,22
9.0,DZ,248,38,248,112,136,45:55,10.79,3.58,6.53,3,3,1,11,18
10.0,ONIC,239,38,239,139,100,58:42,8.63,2.63,6.29,2,4,5,12,22
11.0,GO,213,38,213,116,97,54:46,10.32,2.55,5.61,3,2,2,12,18
12.0,ALL,210,32,203,110,93,54:46,9.03,2.91,6.34,3,2,1,9,21
13.0,SNG,206,38,206,111,95,54:46,10.55,2.5,5.42,2,3,3,10,17
14.0,ESA,206,32,201,100,101,50:50,9.88,3.16,6.28,2,2,3,11,16
15.0,MST,205,32,203,109,94,54:46,8.66,2.94,6.34,1,4,2,9,21
16.0,TGRD,202,32,196,122,74,62:38,9.19,2.31,6.13,4,1,3,11,20
17.0,FUN,185,32,184,94,90,51:49,9.25,2.81,5.75,,3,3,9,20
18.0,E36,184,38,184,93,91,51:49,10.45,2.39,4.84,1,1,1,12,17
19.0,E6,176,32,168,79,89,47:53,10.31,2.78,5.25,1,1,1,10,15
20.0,JLE,175,30,175,57,118,33:67,12.27,3.93,5.83,1,1,,5,11
21.0,DF,172,38,172,86,86,50:50,11.08,2.26,4.53,2,1,,6,18
22.0,NTH,169,30,169,80,89,47:53,11.3,2.97,5.63,3,1,1,7,11
23.0,100T,164,30,164,87,77,53:47,9.77,2.57,5.47,1,1,3,8,19
24.0,PVX,153,30,153,102,51,67:33,8.67,1.7,5.1,2,2,2,10,19
25.0,FC,145,30,145,65,80,45:55,11.27,2.67,4.83,2,,1,5,11
26.0,KCP,131,30,131,57,74,44:56,11.73,2.47,4.37,,,3,5,14
27.0,IG,129,30,129,74,55,57:43,11.13,1.83,4.3,1,3,,5,15
28.0,IBG,120,24,120,48,72,40:60,11.88,3.0,5.0,1,1,,5,10
29.0,GHS,116,24,116,64,52,55:45,10.38,2.17,4.83,1,2,,5,12
30.0,GFR,113,30,113,63,50,56:44,11.97,1.67,3.77,1,3,,4,11
31.0,CR,108,24,108,45,63,42:58,11.58,2.63,4.5,,,1,4,10
32.0,GW,104,24,104,36,68,35:65,13.04,2.83,4.33,1,,,1,7
33.0,K1CK,102,30,102,60,42,59:41,12.03,1.4,3.4,1,,1,6,13
34.0,VXD,102,24,102,46,56,45:55,12.92,2.33,4.25,2,,,3,7
35.0,NCE,98,30,98,56,42,57:43,12.47,1.4,3.27,,,3,7,12
36.0,OXG,89,24,89,38,51,43:57,12.42,2.13,3.71,,,1,4,10
37.0,FLR,81,24,81,31,50,38:62,13.5,2.08,3.38,,1,,2,7
38.0,PSN,71,24,71,34,37,48:52,12.75,1.54,2.96,,,,3,10
39.0,HRZN,67,24,67,36,31,54:46,11.88,1.29,2.79,,,,4,10
40.0,LNW,57,24,57,30,27,53:47,12.54,1.13,2.38,,,,3,8
